id,cte
7709043455,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7719047184,"[21892424, 24272272, 16942420, 1383854, 25898076]"
7727597777,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7714338609,"[23037084, 19672625, 1376881, 24089899, 32333290]"
7715446501,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7702078650,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7727656790,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7733126624,"[1345602, 28432039, 1259786, 34325586, 1376881]"
7721816006,"[1364694, 18022621, 33991325, 34293919, 1345602]"
7724733647,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7710958150,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7716783901,"[16942420, 24089899, 1345602, 24272272, 1376881]"
7727191008,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7735093928,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7724750113,"[18022621, 34818835, 33695427, 28432039, 19672625]"
7714855565,"[24156441, 20127257, 1325442, 35007422, 26751454]"
7729414404,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7714283124,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7705031674,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7714097262,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7743023522,"[1345602, 34343195, 28432039, 24089899, 1376881]"
7714045360,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7735062750,"[1345602, 34343195, 28432039, 24089899, 1376881]"
7714082636,"[16942420, 24089899, 1345602, 24272272, 1376881]"
7720152070,"[16429493, 24089899, 24272272, 1376881, 28432039]"
7735598887,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7719138723,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7708006274,"[1345602, 34343195, 28432039, 24089899, 1376881]"
7716237684,"[19672625, 1376881, 24089899, 1345602, 28432039]"
5031012693,"[16942420, 24089899, 1345602, 24272272, 1376881]"
7723084936,"[34770362, 1207882, 28432039, 25898076, 1376881]"
7732525418,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7733853690,"[1383854, 32333290, 1339310, 19672625, 24089899]"
7733024083,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7719064084,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7716237691,"[1364694, 18022621, 33991325, 34293919, 1345602]"
7726561792,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7727846494,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7734250208,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7703611221,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7720029197,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7721222323,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7710114340,"[34857251, 28432039, 28536315, 1376881, 16429493]"
9715005363,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7720571804,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7733902193,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7727233787,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7716015258,"[16942420, 24089899, 1345602, 24272272, 1376881]"
7725056395,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7731281039,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7727038056,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7714644959,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7713079503,"[22487855, 34259992, 23139821, 20559440, 34328080]"
7710177774,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7719013636,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7718220326,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7726737848,"[18022621, 34818835, 33695427, 28432039, 19672625]"
7720270660,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7703363890,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7721314133,"[19672625, 1376881, 24089899, 1345602, 28432039]"
7702038150,"[1339310, 17166821, 34818835, 1238816, 1260765]"
5027075370,"[19672625, 1376881, 24089899, 1345602, 28432039]"
